rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
"1,000",Streamer,1,shroud,Logitech G303 Shroud Edition,"1,000",400,0.8,320,1,Alienware AW2721D,240,RTX 3090,2560x1440,Logitech G840 SE,Logitech G Pro X Keyboard SE,Logitech G Pro X Wireless Headset SE
"1,000",Streamer,2,summit1g,FinalMouse Air58 Ninja CBR Edition,500,400,0.415,166,1,Samsung Odyssey G7,240,RTX 2080 Ti,1920x1080,Corsair MM500,Corsair K70 RGB MK.2,Audio Technica ATH-AD700X
126,T1 (S),3,Brax,Logitech MX518,"1,000",400,0.55,220,1,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Sennheiser HD 600
"1,000",Streamer,4,n0thing,Logitech G100s Custom,"1,000",400,0.645,258,1,Alienware AW2521H,240,RTX 3090,1920x1080,Logitech G440,Logitech G Pro X MK SE,Logitech G Pro X Wireless Headset SE
999,FA,5,Skadoodle,Logitech G Pro X Superlight Black,500,400,0.6,240,1,BenQ XL2546,240,RTX 2080,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
"1,000",Streamer,6,ONSCREEN,Logitech G Pro Wireless,"1,000",400,1,400,1,BenQ XL2740,240,RTX 2080 Ti,1920x1080,,Logitech G Pro X Mechanical Keyboard,Beyerdynamic DT 1990 Pro
"1,000",Streamer,7,dizzy,FinalMouse Starlight 12,500,800,0.35,280,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,SteelSeries Apex Pro TKL,Apple EarPods
127,NRG Esports (S),8,aceu,FinalMouse Starlight Pro,"1,000",800,0.51,408,1,BenQ XL2546,240,RTX 3090 Ti,1920x1080,Zowie G-SR-SE,Ducky One TKL White,Apple EarPods
999,FA,9,AZK,Logitech G Pro Wireless,"1,000",400,0.628,251,1,BenQ XL2540,240,GTX 1080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
"1,000",Streamer,10,Hiko,Razer DeathAdder V3 Pro,"1,000","1,600",0.36,576,1,Alienware AW2521H,360,RTX 3090,1920x1080,Zowie G-SR-SE,Razer BlackWidow TE,JBL Quantum ONE
13,Liquid,11,ScreaM,FinalMouse Classic Ergo 2,"1,000",400,0.741,296,1,Alienware AW2521H,360,RTX 3080,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
43,Sentinels,13,TenZ,FinalMouse Starlight Pro(Small & Medium),"1,000","1,600",0.22,352,1,BenQ XL2566K,360,RTX 3090,1920x1080,Zowie G-SR,Xtrfy K4 TKL,Xtrfy H2
125,Liquid (S),14,EliGE,Logitech G Pro Wireless,"1,000","1,600",0.233,372,0.8,Alienware AW2518H,240,GTX 1080 Ti,1680x1050,Zowie G-SR,Massdrop ALT High Profile,Sennheiser PC37X
"1,000",Streamer,15,Myth,Logitech G703,"1,000",700,0.225,157,0.554,ASUS ROG Swift PG258Q,240,RTX 3090,1920x1080,Logitech G840,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
"1,000",Streamer,16,Ninja,Logitech G Pro X Superlight Black,"1,000",400,0.55,220,0.7,Alienware AW2518H,240,RTX 3070,1920x1080,HyperX FURY S Pro SE X-Large,SteelSeries Apex Pro TKL,Beyerdynamic DT 1990 Pro
130,EG (S),17,Stewie2k,Logitech G Pro X Superlight Black,"1,000",400,0.61,244,1.2,Alienware AW2521H,360,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G512,HyperX Cloud II
128,NaVi (S),20,s1mple,Logitech G Pro X Superlight White,"1,000",400,0.974,389,0.974,BenQ XL2540,240,GTX 1080,1920x1080,HATOR INTBS,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
125,Liquid (S),22,Mendo,Logitech G Pro X Superlight,500,450,0.55,247,1,Alienware AW2521H,360,RTX 3080,1440x1080,Artisan Zero,Tofu 60% Zealios 67g Switches,beyerdynamic DT 1990 Pro
999,FA,26,L1NK,Zowie EC2-B Divina Edition,"1,000",800,0.3,196,1,BenQ XL2546,240,RTX 3080,1280x960,VAXEE PB,Ducky One 2 TKL White,HyperX Cloud II
999,FA,27,KRYPTIX,Pulsar Xlite V2 Wireless,"1,000",400,0.471,188,0.8,BenQ XL2540,240,RTX 3080,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
999,FA,29,ec1s,VAXEE ZYGEN NP-01,"1,000",800,0.314,251,1,BenQ XL2546,240,RTX 3080,1920x1080,Zowie G-SR-SE Sweden Edition,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
13,Liquid,30,soulcas,Zowie EC2-C,"1,000",400,0.48,192,0.88,Alienware AW2521H,360,RTX 3080,1920x1080,SteelSeries QcK Heavy,KBD67 Custom,HyperX Cloud II
"1,000",Streamer,31,Kephrii,ASUS ROG Gladius,"2,000",400,0.5,200,0.65,ASUS ROG Swift PG258Q,240,RTX 2080 Ti,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Turtle Beach Elite Atlas Aero
43,Sentinels (B),33,ShahZaM,Logitech G703,"1,000",400,0.53,212,1,BenQ XL2546,240,RTX 3090,1920x1080,Artisan Zero,KBD8X MKII Custom,HyperX Cloud II
43,Sentinels (B),34,SicK,Logitech G900,"1,000",800,0.235,188,1,BenQ XL2546,240,RTX 3080,1920x1080,Logitech G640,HyperX Alloy FPS Pro,HyperX Cloud II
43,Sentinels (S),35,Sinatraa,Logitech G Pro X Superlight Black,"1,000",800,0.387,309,1,"OMEN by HP 24.5""",240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,JBL Quantum ONE
43,Sentinels (B),36,zombs,Logitech G Pro X Superlight,"1,000",400,0.54,216,1,BenQ XL2540,240,RTX 3080,1280x960,Logitech G640,Ducky One 2 Mini RGB,Sennheiser G4ME ONE
126,T1 (S),37,Selly55,Logitech G Pro Wireless,"1,000",400,0.88,352,1,BenQ XL2546,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,Ducky One 2 Mini RGB White,Logitech G Pro X
20,G2 (B),38,mixwell,Logitech G703,"1,000",400,0.69,276,1,AOC AG251FZ2E,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
3,OpTic (B),39,crashies,Razer DeathAdder V3 Pro,"1,000",800,0.25,200,0.875,BenQ XL2546,144,GTX 1080,1920x1080,Artisan Zero,Razer Blackwidow V3 TKL,Razer BlackShark V2
"1,000",Streamer,40,MuMiNo,Zowie EC2-B,"1,000",400,1,400,0.81,AOC AGON AG241QG,165,GTX 1080 Ti,2560x1440,Zowie G-SR-SE,HyperX Alloy Elite,HyperX Cloud II
"1,000",Streamer,41,Sadovnik,Logitech G Pro Wireless,"1,000",400,0.8,320,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,HyperX FURY S Speed Edition,Razer Huntsman TE,HyperX Cloud II
999,FA,42,WARDELL,Logitech G Pro X Superlight Black,"1,000",800,0.326,260,1.15,BenQ XL2546,240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X
45,TSM (B),43,Subroza,Logitech G Pro X Superlight,"1,000",800,0.277,221,1,BenQ XL2540,240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
"1,000",Streamer,44,PLAYER1,Logitech G Pro Wireless,"1,000",800,0.4,320,1,BenQ XL2411,144,,1920x1080,SteelSeries QcK+,,
999,FA,45,Huynh,Logitech G Pro Wireless,"1,000",800,0.314,251,1,BenQ XL2546,240,GTX 970,1920x1080,Zowie G-SR,HyperX Alloy FPS RGB,Logitech G Pro X
45,TSM (B),46,gMd,Logitech G Pro X Superlight Black,"1,000",400,0.8,320,1,,0,,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,HyperX Cloud Flight
3,OpTic (B),47,Victor,Logitech G703,"1,000",800,0.283,226,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Strider,Razer Blackwidow V3 TKL,Razer BlackShark V2
999,FA,48,rAx,Glorious Model O Matte Black,"1,000",400,0.629,251,1,BenQ XL2546,240,RTX 2080,1920x1080,Logitech G640,Ducky One PBT,Sennheiser G4ME ONE
108,Zero Marksmen Black,49,Bjor,Logitech G303 Shroud Edition,"1,000",400,0.58,232,1,Alienware AW2518H,240,,1920x1080,Zowie G-SR-SE,,Massdrop x Sennheiser 6XX
999,FA,50,DPS,Zowie S2,"1,000",800,0.177,141,1,BenQ XL2540,240,,1366x768,Corsair MM350,,Turtle Beach Elite Pro
999,FA,51,kpiz,Zowie S1 Divina Edition,"1,000",800,0.26,208,1,BenQ XL2546,240,,1440x1080,Zowie G-SR-SE Divina Pink Edition,GK64,HyperX Cloud II
999,FA,52,neph,Zowie EC2-B Divina Edition,"1,000",400,0.6,240,1,BenQ XL2411,144,,1366x768,SteelSeries QcK Heavy,Ducky Shine 5 YOTG,HyperX Cloud II
999,FA,53,hype,Razer Viper Ultimate,"1,000",400,0.55,220,1,BenQ XL2540,240,,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
999,FA,54,leakeN,Zowie EC2,"1,000",400,0.53,212,1,BenQ XL2546,240,,1280x960,Zowie G-SR,Turtle Beach Impact 100,Logitech G Pro X
999,FA,55,iDex,Razer DeathAdder V3 Pro,"1,000",800,0.244,195,1,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Ducky MIYA Pro Sakura,HyperX Cloud Alpha
999,FA,56,Coffee,SteelSeries Rival 300,"1,000","1,600",0.24,384,1,BenQ XL2430T,144,GTX 1060,1920x1080,SteelSeries QcK+ NiP Edition,HyperX Alloy FPS,HyperX Cloud Revolver S
999,FA,57,zeddy,Zowie FK2,"1,000",800,0.3,240,1,BenQ XL2430T,144,GTX 1060,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud I
16,Bleed eSports,58,pyth,Logitech G Pro Wireless,"1,000",400,0.63,252,1,AOC AG251FZ2E,240,GTX 1080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
76,Prodigy,59,JEROME,Logitech MX518 Legendary,"1,000",800,0.471,376,1,BenQ XL2546,240,,1280x960,SteelSeries QcK+,HyperX Alloy FPS,HyperX Cloud Earbuds
